Date,Daily Confirmed,False Positives Found,Cumulative Confirmed,Daily Discharged,Passed but not due to COVID,Cumulative Discharged,Discharged to Isolation,Still Hospitalised,Daily Deaths,Cumulative Deaths,Tested positive demise,Daily Imported,Daily Local transmission,Local cases residing in dorms MOH report,Local cases not residing in doms MOH report,Intensive Care Unit (ICU),General Wards MOH report,In Isolation MOH report,Total Completed Isolation MOH report,Total Hospital Discharged MOH report
23-Jan,1,,1,0,0,0,0,1,0,0,0,1,0,,,0,,,,
24-Jan,2,,3,0,0,0,0,3,0,0,0,2,0,,,0,,,,
25-Jan,1,,4,0,0,0,0,4,0,0,0,1,0,,,0,,,,
26-Jan,0,,4,0,0,0,0,4,0,0,0,0,0,,,0,,,,
27-Jan,1,,5,0,0,0,0,5,0,0,0,1,0,,,0,,,,
28-Jan,2,,7,0,0,0,0,7,0,0,0,2,0,,,0,,,,
29-Jan,3,,10,0,0,0,0,10,0,0,0,3,0,,,0,,,,
30-Jan,3,,13,0,0,0,0,13,0,0,0,3,0,,,0,,,,
31-Jan,3,,16,0,0,0,0,16,0,0,0,3,0,,,0,,,,
1-Feb,2,,18,0,0,0,0,18,0,0,0,2,0,,,0,,,,
2-Feb,0,,18,0,0,0,0,18,0,0,0,0,0,,,0,,,,
3-Feb,0,,18,0,0,0,0,18,0,0,0,0,0,,,0,,,,
4-Feb,6,,24,1,0,1,0,23,0,0,0,2,4,,,0,,,,
5-Feb,4,,28,0,0,1,0,27,0,0,0,1,3,,,0,,,,
6-Feb,2,,30,0,0,1,0,29,0,0,0,0,2,,,1,,,,
7-Feb,3,,33,1,0,2,0,31,0,0,0,0,3,,,2,,,,
8-Feb,7,,40,0,0,2,0,38,0,0,0,0,7,,,4,,,,
9-Feb,3,,43,4,0,6,0,37,0,0,0,0,3,,,6,,,,
10-Feb,2,,45,1,0,7,0,38,0,0,0,1,1,,,7,,,,
11-Feb,2,,47,2,0,9,0,38,0,0,0,0,2,,,7,,,,
12-Feb,3,,50,6,0,15,0,35,0,0,0,0,3,,,8,,,,
13-Feb,8,,58,0,0,15,0,43,0,0,0,0,8,,,7,,,,
14-Feb,9,,67,2,0,17,0,50,0,0,0,0,9,,,6,,,,
15-Feb,5,,72,1,0,18,0,54,0,0,0,0,5,,,6,,,,
16-Feb,3,,75,1,0,19,0,56,0,0,0,0,3,,,5,,,,
17-Feb,2,,77,5,0,24,0,53,0,0,0,1,1,,,4,,,,
18-Feb,4,,81,5,0,29,0,52,0,0,0,0,4,,,4,,,,
19-Feb,3,,84,5,0,34,0,50,0,0,0,0,3,,,4,,,,
20-Feb,1,,85,3,0,37,0,48,0,0,0,0,1,,,4,,,,
21-Feb,1,,86,10,0,47,0,39,0,0,0,0,1,,,5,,,,
22-Feb,3,,89,2,0,49,0,40,0,0,0,1,2,,,5,,,,
23-Feb,0,,89,2,0,51,0,38,0,0,0,0,0,,,5,,,,
24-Feb,1,,90,2,0,53,0,37,0,0,0,0,1,,,7,,,,
25-Feb,1,,91,5,0,58,0,33,0,0,0,0,1,,,7,,,,
26-Feb,2,,93,4,0,62,0,31,0,0,0,0,2,,,7,,,,
27-Feb,3,,96,4,0,66,0,30,0,0,0,0,3,,,8,,,,
28-Feb,2,,98,3,0,69,0,29,0,0,0,0,2,,,7,,,,
29-Feb,4,,102,3,0,72,0,30,0,0,0,0,4,,,7,,,,
1-Mar,4,,106,2,0,74,0,32,0,0,0,0,4,,,7,,,,
2-Mar,2,,108,4,0,78,0,30,0,0,0,0,2,,,6,,,,
3-Mar,2,,110,0,0,78,0,32,0,0,0,0,2,,,7,,,,
4-Mar,2,,112,1,0,79,0,33,0,0,0,0,2,,,7,,,,
5-Mar,5,,117,2,0,81,0,36,0,0,0,1,4,,,7,,,,
6-Mar,13,,130,1,0,82,0,48,0,0,0,2,11,,,9,,,,
7-Mar,8,,138,8,0,90,0,48,0,0,0,2,6,,,8,,,,
8-Mar,12,,150,0,0,90,0,60,0,0,0,1,11,,,9,,,,
9-Mar,10,,160,3,0,93,0,67,0,0,0,3,7,,,10,,,,
10-Mar,6,,166,0,0,93,0,73,0,0,0,0,6,,,12,,,,
11-Mar,12,,178,3,0,96,0,82,0,0,0,8,4,,,9,,,,
12-Mar,9,,187,0,0,96,0,91,0,0,0,5,4,,,9,,,,
13-Mar,13,,200,1,0,97,0,103,0,0,0,9,4,,,11,,,,
14-Mar,12,,212,8,0,105,0,107,0,0,0,9,3,,,14,,,,
15-Mar,14,,226,0,0,105,0,121,0,0,0,9,5,,,13,,,,
16-Mar,17,,243,4,0,109,0,134,0,0,0,11,6,,,13,,,,
17-Mar,23,,266,5,0,114,0,152,0,0,0,17,6,,,14,,,,
18-Mar,47,,313,3,0,117,0,196,0,0,0,33,14,,,15,,,,
19-Mar,32,,345,7,0,124,0,221,0,0,0,24,8,,,15,,,,
20-Mar,40,,385,7,0,131,0,254,0,0,0,30,10,,,16,238,0,0,131
21-Mar,47,,432,9,0,140,0,290,2,2,0,39,8,,,14,276,0,0,140
22-Mar,23,,455,4,0,144,0,309,0,2,0,18,5,,,14,295,0,0,144
23-Mar,54,,509,8,0,152,0,355,0,2,0,48,6,,,15,340,0,0,152
24-Mar,49,,558,3,0,155,0,401,0,2,0,32,17,,,17,384,0,0,155
25-Mar,73,,631,5,0,160,65,404,0,2,0,38,35,,,17,388,64,0,160
26-Mar,52,,683,12,0,172,87,422,0,2,0,28,24,,,18,404,87,0,172
27-Mar,49,,732,11,0,183,115,432,0,2,0,22,27,,,17,415,115,4,179
28-Mar,70,,802,15,0,198,182,420,0,2,0,41,29,,,19,401,182,14,184
29-Mar,42,,844,14,0,212,206,423,1,3,0,24,18,2,17,19,404,206,18,194
30-Mar,35,,879,16,0,228,228,420,0,3,0,9,26,3,22,19,401,228,28,200
31-Mar,47,,926,12,0,240,260,423,0,3,0,16,31,6,25,22,401,260,32,208
1-Apr,74,,1000,5,0,245,291,461,0,3,0,20,54,11,43,24,437,291,34,211
2-Apr,49,,1049,21,0,266,315,464,1,4,0,8,41,7,34,23,441,315,42,224
3-Apr,65,,1114,16,0,282,354,473,1,5,0,9,56,22,34,25,448,354,47,235
4-Apr,75,,1189,15,0,297,386,500,1,6,0,6,69,23,45,26,474,386,55,242
5-Apr,120,,1309,23,0,320,414,569,0,6,0,4,116,57,59,25,544,414,68,252
6-Apr,66,,1375,24,0,344,454,571,0,6,0,1,65,38,27,25,546,454,81,263
7-Apr,106,,1481,33,0,377,471,627,0,6,0,3,103,46,57,29,598,471,101,276
8-Apr,142,,1623,29,0,406,542,669,0,6,0,2,140,65,75,29,640,542,115,291
9-Apr,287,,1910,54,1,460,559,885,0,6,0,3,284,214,70,29,856,559,146,314
10-Apr,198,,2108,32,0,492,734,875,1,7,0,0,198,141,57,32,845,734,172,318
11-Apr,191,,2299,35,0,527,820,944,1,8,0,0,191,152,39,31,914,820,199,327
12-Apr,233,,2532,32,0,559,988,977,0,8,0,0,233,188,45,31,947,988,217,341
13-Apr,386,,2918,26,0,585,1165,1159,1,9,0,0,386,334,52,29,1131,1165,239,345
14-Apr,334,,3252,25,0,610,1316,1316,1,10,0,0,334,275,59,28,1289,1316,259,350
15-Apr,447,,3699,41,0,651,1540,1497,0,10,1,0,447,406,41,26,1473,1541,284,365
16-Apr,728,,4427,31,0,682,1848,1886,0,10,0,0,728,676,52,23,1866,1848,309,371
17-Apr,623,,5050,25,0,707,2218,2113,1,11,0,1,622,559,63,22,2095,2218,312,392
18-Apr,942,,5992,38,0,745,2678,2557,0,11,0,0,942,893,49,23,2538,2683,331,406
19-Apr,596,,6588,26,0,771,2888,2917,0,11,0,0,596,544,52,22,2899,2893,339,424
20-Apr,1426,,8014,33,0,804,3782,3416,0,11,0,0,1426,1371,55,23,1364,5829,351,436
21-Apr,1111,,9125,39,0,843,4682,3588,0,11,0,0,1111,1050,61,27,1381,6881,371,454
22-Apr,1016,,10141,57,0,900,4999,4229,1,12,0,0,1016,967,49,25,1571,7651,413,469
23-Apr,1037,,11178,36,1,936,8874,1355,0,12,0,0,1037,982,55,26,1342,8880,434,484
24-Apr,897,,12075,38,0,974,9878,1210,0,12,0,0,897,852,45,24,1205,9878,449,507
25-Apr,618,,12693,46,0,1020,10465,1195,0,12,0,0,618,597,21,24,1190,10465,474,528
26-Apr,931,,13624,58,0,1078,11241,1292,0,12,0,2,929,886,43,22,1289,11241,514,546
27-Apr,799,,14423,35,0,1113,11863,1432,2,14,0,0,799,764,35,20,1431,11863,532,563
28-Apr,528,,14951,33,0,1146,12120,1670,0,14,0,0,528,511,17,21,1668,12120,551,577
29-Apr,690,,15641,62,0,1208,12725,1693,0,14,0,0,690,660,30,22,1692,12725,594,594
30-Apr,528,,16169,56,0,1264,13202,1687,1,15,0,0,528,488,40,21,1687,13202,624,620
1-May,932,,17101,24,0,1288,14053,1743,1,16,0,0,932,905,27,23,1741,14053,630,638
2-May,447,,17548,79,0,1367,14474,1688,1,17,1,0,447,431,16,24,1686,14474,685,662
3-May,657,,18205,61,0,1428,15149,1608,1,18,0,0,657,626,31,22,1608,15149,722,686
4-May,573,,18778,49,0,1477,15812,1469,0,18,0,0,573,560,13,25,1466,15812,744,713
5-May,632,,19410,62,1,1539,16289,1562,0,18,0,0,632,605,27,24,1560,16289,786,733
6-May,788,,20198,115,0,1654,17082,1440,2,20,0,0,788,760,28,23,1439,17082,860,774
7-May,741,,20939,78,0,1732,17831,1354,0,20,0,0,741,725,16,19,1357,17831,896,816
8-May,768,,21707,328,0,2060,18402,1223,0,20,0,0,768,750,18,22,1223,18402,1205,835
9-May,753,,22460,256,0,2316,19020,1102,0,20,0,0,753,739,14,23,1101,19020,1442,854
10-May,876,,23336,425,0,2741,19498,1075,0,20,0,1,875,860,15,22,1075,19498,1836,885
11-May,486,35,23787,504,0,3245,19448,1070,1,21,1,0,486,481,5,24,1069,19448,2322,903
12-May,884,0,24671,626,0,3871,19667,1107,0,21,2,0,884,877,7,20,1112,19667,2927,924
13-May,675,0,25346,958,0,4829,19479,1012,0,21,0,0,675,671,4,19,1018,19479,3858,951
14-May,752,0,26098,1164,0,5993,19032,1047,0,21,0,0,752,750,2,20,1052,19032,4978,995
15-May,793,0,26891,1275,0,7268,18498,1099,0,21,0,0,793,791,2,18,1106,18498,6229,1019
16-May,465,0,27356,1094,0,8362,17881,1086,1,22,0,0,465,457,8,16,1095,17881,7309,1033
17-May,682,0,28038,998,0,9360,17466,1185,0,22,0,0,682,673,9,16,1194,17466,8286,1054
18-May,305,0,28343,495,0,9855,17450,1011,0,22,0,0,305,303,2,12,1024,17450,8776,1059
19-May,451,0,28794,530,0,10385,17403,979,0,22,0,0,451,450,1,10,994,17403,9284,1081
20-May,570,0,29364,842,0,11227,17181,929,0,22,0,0,570,562,8,11,943,17181,10110,1097
21-May,448,0,29812,910,0,12137,16771,876,1,23,0,0,448,434,14,10,891,16771,11017,1100
22-May,614,0,30426,838,0,12975,16650,773,0,23,0,0,614,610,4,8,790,16650,11883,1122
23-May,642,0,31068,927,0,13902,16452,686,0,23,0,0,642,631,11,8,703,16452,12731,1151
24-May,548,0,31616,994,0,14896,16027,665,0,23,0,0,548,544,4,8,682,16027,13686,1190
25-May,344,0,31960,862,0,15758,15592,582,0,23,0,0,344,338,6,8,599,15592,14521,1217
26-May,383,0,32343,706,0,16464,15291,560,0,23,0,0,383,381,2,8,577,15291,15203,1241
27-May,533,0,32876,832,0,17296,15052,500,0,23,0,0,533,529,4,7,518,15052,16007,1269
28-May,373,0,33249,1018,0,18314,14422,485,0,23,0,0,373,372,1,7,503,14422,16996,1298
29-May,611,0,33860,1337,0,19651,13745,436,0,23,0,0,611,602,9,8,453,13745,18298,1333
30-May,506,0,34366,1096,0,20747,13242,349,0,23,0,0,506,501,5,7,367,13242,19305,1422
31-May,518,0,34884,972,0,21719,12841,296,0,23,0,0,518,516,2,8,313,12841,20245,1454
1-Jun,408,0,35292,767,0,22486,12458,319,1,24,0,0,408,408,0,7,337,12458,21004,1462
2-Jun,544,0,35836,709,0,23195,12306,306,0,24,0,0,544,540,4,6,325,12306,21706,1469
3-Jun,569,0,36405,407,0,23602,12465,309,0,24,0,0,569,562,7,5,329,12465,22089,1493
4-Jun,517,0,36922,322,0,23924,12691,278,0,24,0,0,517,502,15,5,298,12691,22404,1500
5-Jun,261,0,37183,305,0,24229,12643,282,0,24,0,0,261,250,11,4,303,12643,22693,1516
6-Jun,344,0,37527,350,0,24579,12635,283,1,25,0,0,344,337,7,4,304,12635,23041,1518
7-Jun,383,0,37910,327,0,24906,12704,270,0,25,0,0,383,369,14,3,292,12704,23361,1525
8-Jun,386,0,38296,482,0,25388,12634,244,0,25,0,0,386,384,2,4,265,12634,23823,1545
9-Jun,218,0,38514,509,0,25897,12364,223,0,25,0,0,218,212,6,3,245,12364,24316,1561
10-Jun,451,0,38965,655,0,26552,12185,198,0,25,0,0,451,444,7,3,220,12185,24948,1584
11-Jun,422,0,39387,754,0,27306,11849,201,0,25,1,0,422,416,6,2,225,11849,25689,1597
12-Jun,463,0,39850,754,0,28060,11546,213,0,25,0,0,463,445,18,2,237,11546,26434,1606
13-Jun,347,0,40197,768,0,28828,11135,202,1,26,0,0,347,342,5,1,227,11135,27191,1617
14-Jun,407,0,40604,781,0,29609,10751,212,0,26,0,1,406,397,9,2,236,10751,27961,1628
15-Jun,214,0,40818,777,0,30386,10183,217,0,26,0,0,214,311,3,2,241,10183,28731,1635
16-Jun,151,0,40969,797,0,31183,9511,243,0,26,0,0,151,149,2,2,267,9511,29516,1647
17-Jun,247,0,41216,775,0,31958,8995,231,0,26,0,0,247,242,5,2,255,8995,30277,1661
18-Jun,257,0,41473,774,0,32732,8510,199,0,26,0,0,257,253,4,2,223,8510,31046,1666
19-Jun,142,0,41615,747,0,33479,7918,186,0,26,0,0,142,141,1,2,210,7918,31781,1678
20-Jun,218,0,41833,765,0,34244,7398,159,0,26,0,0,218,216,2,1,184,7398,32540,1684
21-Jun,262,0,42095,718,0,34962,6948,153,0,26,0,0,262,252,10,1,178,6948,33247,1695
22-Jun,218,0,42313,648,0,35610,6497,174,0,26,0,0,218,217,1,1,199,6497,33882,1708
23-Jun,119,0,42432,405,1,36015,6219,166,0,26,0,0,119,116,3,1,191,6219,34283,1712
24-Jun,191,0,42623,304,0,36319,6109,163,0,26,0,0,191,184,7,1,188,6109,34582,1717
25-Jun,113,0,42736,305,0,36624,5917,163,0,26,0,0,113,108,5,1,188,5917,34886,1718
26-Jun,219,0,42955,221,0,36845,5921,157,0,26,0,0,219,213,6,1,182,5921,35095,1730
27-Jun,291,0,43246,338,1,37183,5883,148,0,26,0,0,291,280,11,1,173,5883,35429,1734
28-Jun,213,0,43459,345,0,37528,5741,158,0,26,0,0,213,202,11,1,183,5741,35756,1752
29-Jun,202,0,43661,477,0,38005,5453,171,0,26,0,0,202,196,6,1,196,5453,36224,1761
30-Jun,246,0,43907,515,0,38520,5166,189,0,26,0,1,245,240,5,1,214,5166,36734,1766
1-Jul,215,0,44122,511,0,39031,4876,183,0,26,0,4,211,201,10,1,208,4876,37238,1773
2-Jul,188,0,44310,418,0,39449,4654,175,0,26,0,1,187,177,10,1,200,4654,37654,1784
3-Jul,169,0,44479,340,0,39789,4461,197,0,26,0,3,166,155,11,1,222,4461,37980,1789
4-Jul,185,0,44664,348,0,40137,4317,178,0,26,0,1,184,175,9,2,202,4317,38317,1800
5-Jul,136,0,44800,324,0,40461,4121,186,0,26,0,7,129,111,18,2,210,4121,38627,1814
6-Jul,183,0,44983,276,0,40737,4032,182,0,26,0,3,180,157,23,2,206,4032,38892,1825
7-Jul,157,0,45140,285,0,41022,3893,193,0,26,0,3,154,134,20,1,218,3893,39171,1831
8-Jul,158,1,45297,321,0,41343,3734,187,0,26,1,3,155,146,9,1,214,3734,39482,1841
9-Jul,125,0,45422,322,1,41665,3554,170,0,26,0,1,124,103,21,1,196,3554,39793,1852
10-Jul,191,1,45612,135,0,41800,3604,175,0,26,0,1,190,174,16,1,202,3604,39925,1855
11-Jul,170,0,45782,246,0,42046,3539,164,0,26,0,1,169,145,24,1,191,3539,40151,1875
12-Jul,178,0,45960,259,0,42305,3468,154,0,26,0,1,177,176,1,1,181,3468,40401,1884
13-Jul,322,0,46282,256,0,42561,3550,138,0,26,0,5,317,306,11,1,165,3550,40653,1888
14-Jul,347,0,46629,196,0,42757,3704,134,1,27,0,2,345,338,7,0,161,3704,40842,1895
15-Jul,249,0,46878,251,0,43008,3704,132,0,27,0,5,244,229,15,0,159,3704,41081,1907
16-Jul,248,0,47126,268,0,43276,3697,119,0,27,0,4,244,233,11,0,146,3697,41339,1917
17-Jul,327,0,47453,321,0,43597,3684,137,0,27,1,3,324,315,9,0,165,3684,41654,1923
18-Jul,202,0,47655,256,0,43853,3626,141,0,27,0,8,194,187,7,0,169,3626,41906,1927
19-Jul,257,0,47912,253,0,44106,3618,153,0,27,0,5,252,244,8,0,181,3618,42156,1930
20-Jul,123,0,48035,285,0,44391,3454,155,0,27,0,2,121,110,11,0,183,3454,42436,1935
21-Jul,399,0,48434,213,0,44604,3653,142,0,27,0,3,396,387,9,0,170,3653,42642,1942
22-Jul,310,0,48744,211,0,44815,3772,122,0,27,0,6,304,296,8,0,150,3772,42839,1956
23-Jul,354,0,49098,220,0,45035,3919,109,0,27,0,5,349,341,8,0,137,3919,43048,1967
24-Jul,277,0,49375,157,0,45192,4019,129,0,27,0,2,275,272,3,0,157,4019,43186,1986
25-Jul,513,0,49888,180,0,45372,4316,165,0,27,0,6,507,505,2,0,148,4361,43357,1995
26-Jul,481,0,50369,169,0,45541,4648,145,0,27,0,4,477,472,5,0,173,4648,43518,2003
27-Jul,469,0,50838,171,0,45712,4940,151,0,27,0,15,454,452,2,0,179,4940,43686,2006
28-Jul,359,0,51197,201,0,45913,5092,157,0,27,0,2,357,355,2,0,185,5092,43875,2018
29-Jul,334,0,51531,205,0,46118,5222,156,0,27,0,4,330,327,3,0,184,5222,44071,2027
30-Jul,278,0,51809,210,0,46328,5326,120,0,27,0,4,274,270,4,0,148,5326,44264,2044
31-Jul,396,0,52205,183,0,46511,5551,108,0,27,0,3,393,390,3,0,136,5551,44436,2055
1-Aug,307,0,52512,249,0,46760,5628,89,0,27,0,5,302,301,1,0,117,5628,44677,2063
2-Aug,313,0,52825,186,0,46946,5763,81,0,27,0,5,308,307,1,0,109,5763,44852,2074
3-Aug,226,0,53051,253,0,47199,5730,87,0,27,0,9,217,216,1,1,114,5730,45096,2083
4-Aug,295,0,53346,275,0,47474,5740,97,0,27,0,7,288,286,2,1,124,5740,45364,2090
5-Aug,908,0,54254,314,0,47788,6333,98,0,27,0,4,904,903,1,1,125,6333,45668,2100
6-Aug,301,0,54555,263,0,48051,6385,84,0,27,0,4,297,293,4,0,112,6385,45925,2106
7-Aug,242,0,54797,281,0,48332,6334,96,0,27,0,6,236,235,1,0,124,6334,46196,2116
8-Aug,132,0,54929,271,0,48603,6174,117,0,27,0,6,126,125,1,0,145,6174,46457,2126
9-Aug,175,0,55104,332,0,48935,6027,107,0,27,0,3,172,171,1,0,135,6027,46778,2137
10-Aug,188,0,55292,694,0,49629,5544,84,0,27,0,12,176,175,1,0,112,5544,47453,2156
11-Aug,61,0,55353,519,0,50148,5094,76,0,27,0,3,58,56,2,0,104,5094,47960,2168
12-Aug,42,0,55395,392,0,50540,4756,64,0,27,0,11,31,30,1,0,92,4756,48341,2179
13-Aug,102,0,55497,216,0,50756,4643,63,0,27,0,6,96,91,5,0,91,4643,48552,2184
14-Aug,83,0,55580,313,0,51069,4425,51,0,27,0,4,79,79,0,0,79,4425,48856,2193
15-Aug,81,0,55661,472,0,51541,4030,55,0,27,0,16,65,62,3,0,83,4030,49326,2195
16-Aug,86,0,55747,432,0,51973,3685,54,0,27,0,6,80,78,2,0,82,3686,49746,2206
17-Aug,91,0,55838,397,0,52370,3379,54,0,27,0,6,85,85,0,0,82,3380,50142,2207
18-Aug,100,0,55938,183,0,52553,3290,60,0,27,0,2,98,97,1,0,88,3291,50323,2209
19-Aug,93,0,56031,277,0,52830,3107,59,0,27,0,6,87,85,2,0,87,3108,50597,2212
20-Aug,68,0,56099,309,0,53139,2878,47,0,27,0,2,66,66,0,0,75,2879,50901,2217
21-Aug,117,0,56216,532,0,53671,2466,44,0,27,0,13,104,98,6,0,72,2467,51427,2223
22-Aug,50,0,56266,269,0,53940,2238,53,0,27,0,5,45,43,2,0,81,2239,51691,2228
23-Aug,87,0,56353,244,0,54184,2086,48,0,27,0,13,74,73,1,0,76,2087,51929,2234
24-Aug,51,0,56404,423,0,54607,1706,56,0,27,0,7,44,43,1,0,84,1707,52347,2239
25-Aug,31,0,56435,230,0,54837,1514,49,0,27,0,1,30,30,0,0,78,1514,52564,2252
26-Aug,60,0,56495,155,0,54992,1432,36,0,27,0,10,50,47,3,0,65,1432,52708,2263
27-Aug,77,0,56572,168,0,55160,1340,37,0,27,0,5,72,70,2,0,66,1340,52871,2268
28-Aug,94,0,56666,198,0,55358,1231,42,0,27,0,10,84,80,4,0,71,1231,53066,2271
29-Aug,51,0,56717,110,0,55468,1173,41,0,27,0,3,48,47,1,0,70,1173,53166,2281
30-Aug,54,0,56771,139,0,55607,1084,45,0,27,0,7,47,39,8,0,74,1084,53300,2286
31-Aug,41,0,56812,72,0,55679,1049,49,0,27,0,7,34,31,3,0,78,1049,53366,2292
1-Sep,40,0,56852,91,0,55770,990,57,0,27,0,7,33,32,1,0,86,990,53455,2294
2-Sep,49,41,56860,142,0,55912,867,46,0,27,0,3,46,43,3,0,75,867,53592,2299
3-Sep,48,0,56908,137,0,56049,801,23,0,27,0,5,43,41,2,0,52,801,53712,2316
4-Sep,40,0,56948,146,0,56195,696,22,0,27,0,3,37,37,0,0,51,696,53852,2322
5-Sep,34,0,56982,93,0,56288,638,21,0,27,0,2,32,29,3,0,50,638,53942,2325
6-Sep,40,0,57022,66,0,56354,611,22,0,27,0,13,27,23,4,0,51,611,53998,2335
7-Sep,22,0,57044,75,0,56429,558,22,0,27,0,3,19,18,1,0,51,558,54068,2340
8-Sep,47,0,57091,53,0,56482,555,19,0,27,0,1,46,46,0,0,48,555,54117,2344
9-Sep,75,0,57166,31,0,56513,613,5,0,27,0,14,61,60,1,0,34,613,54136,2356
10-Sep,63,0,57229,66,0,56579,597,18,0,27,0,6,57,55,2,0,47,597,54200,2358
11-Sep,86,0,57315,49,0,56628,632,20,0,27,0,13,73,73,0,0,49,632,54243,2364
12-Sep,42,0,57357,92,0,56720,577,25,0,27,0,10,32,28,4,0,54,577,54328,2371
13-Sep,49,0,57406,65,0,56785,555,31,0,27,0,8,41,40,1,0,60,555,54387,2377
14-Sep,48,0,57454,38,0,56823,572,24,0,27,0,5,43,43,0,0,53,572,54415,2387
15-Sep,34,0,57488,82,0,56905,526,22,0,27,0,6,28,28,0,0,51,526,54495,2389
16-Sep,27,1,57514,71,0,56976,490,13,0,27,0,2,25,23,2,0,42,490,54556,2399
17-Sep,18,0,57532,84,0,57060,423,14,0,27,0,2,16,15,1,0,43,423,54634,2405
18-Sep,11,0,57543,32,0,57092,407,9,0,27,0,1,10,9,0,0,38,407,54658,2413
19-Sep,15,0,57558,71,0,57163,362,-2,0,27,0,5,10,9,1,0,27,362,54720,2422
20-Sep,18,0,57576,39,0,57202,338,1,0,27,0,4,14,13,1,0,30,338,54756,2425
21-Sep,31,1,57606,60,0,57262,302,7,0,27,0,9,22,22,0,0,36,302,54817,2424
22-Sep,21,0,57627,21,0,57283,301,8,0,27,0,1,20,20,0,0,37,301,54833,2429
23-Sep,12,0,57639,29,0,57312,285,7,0,27,0,4,8,7,1,0,36,285,54856,2435
24-Sep,15,0,57654,42,0,57354,266,-1,0,27,0,5,10,10,0,0,28,266,54887,2446
25-Sep,11,0,57665,8,0,57362,268,0,0,27,0,2,9,9,0,0,30,268,54893,2447
26-Sep,20,0,57685,19,0,57381,274,-5,0,27,0,5,15,14,1,0,25,274,54910,2449
27-Sep,15,0,57700,8,0,57389,275,1,0,27,0,5,10,10,0,0,31,275,54918,2449
28-Sep,15,0,57715,26,0,57415,259,6,0,27,0,6,9,7,2,0,36,259,54941,2452
29-Sep,27,0,57742,73,0,57488,217,2,0,27,0,9,18,17,1,0,32,217,55008,2458
30-Sep,23,0,57765,22,0,57510,209,11,0,27,0,4,19,16,3,0,41,209,55029,2459
1-Oct,19,0,57784,24,0,57534,201,14,0,27,0,15,4,3,1,0,44,201,55049,2463
2-Oct,10,0,57794,22,0,57556,185,18,0,27,0,5,5,4,1,0,48,185,55068,2466
3-Oct,6,0,57800,28,0,57584,165,16,0,27,0,4,2,1,1,0,46,165,55085,2477
4-Oct,12,0,57812,13,0,57597,167,13,0,27,0,6,6,4,2,0,43,167,55095,2480
5-Oct,7,0,57819,22,0,57619,153,12,0,27,0,1,6,5,1,0,42,153,55112,2485
6-Oct,11,0,57830,15,0,57634,148,13,0,27,0,4,7,5,2,1,42,148,55125,2487
7-Oct,10,0,57840,12,0,57646,150,9,0,27,0,6,4,4,0,1,38,150,55133,2491
8-Oct,9,0,57849,44,0,57690,119,5,0,27,0,5,4,4,0,1,34,119,55171,2497
9-Oct,10,0,57859,7,0,57697,120,7,0,27,0,9,1,1,0,1,36,120,55173,2502
10-Oct,7,0,57866,23,0,57720,101,10,0,27,0,5,2,1,1,1,39,101,55192,2506
11-Oct,10,0,57876,7,0,57727,100,14,0,27,0,7,3,3,0,1,43,100,55196,2509
12-Oct,4,0,57880,23,0,57750,76,18,1,28,0,2,2,1,1,0,48,76,55215,2513
13-Oct,4,0,57884,12,0,57762,81,4,1,29,0,4,0,0,0,0,35,81,55223,2517
14-Oct,5,0,57889,12,0,57774,70,7,1,30,0,3,2,0,2,0,39,70,55231,2521
15-Oct,3,0,57892,12,0,57786,64,4,0,30,0,2,1,1,0,0,36,64,55239,2525
16-Oct,9,0,57901,20,0,57806,59,-2,0,30,0,8,1,1,0,0,30,59,55257,2527
17-Oct,3,0,57904,14,0,57820,41,5,0,30,0,1,2,1,1,0,37,41,55270,2528